Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","313639.25","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","206061.7","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","254912.71","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","314990.4","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","253450.88","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","313069.12","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","349797.63","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","279005.69","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","261305.81","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","274421.03","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","213036.33","E","Estimated value"
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","283297.13","E","Estimated value"
