Rainfall (mm),Year,Month
571.9,2010,Januari
352.9,2010,Febuari
176.0,2010,Maret
21.1,2010,April
134.1,2010,Mei
172.7,2010,Juni
86.1,2010,Juli
67.2,2010,Agustus
194.9,2010,September
219.8,2010,Oktober
137.7,2010,November
155.0,2010,Desember
258.4,2011,Januari
183.5,2011,Febuari
104.8,2011,Maret
34.4,2011,April
157.1,2011,Mei
77.7,2011,Juni
53.1,2011,Juli
13.5,2011,Agustus
2.8,2011,September
57.7,2011,Oktober
114.0,2011,November
132.2,2011,Desember
220.0,2012,Januari
195.4,2012,Febuari
180.5,2012,Maret
110.2,2012,April
121.7,2012,Mei
44.5,2012,Juni
25.0,2012,Juli
0,2012,Agustus
25.5,2012,September
73.0,2012,Oktober
252.2,2012,November
279.6,2012,Desember
626.4,2013,Januari
212.0,2013,Febuari
173.2,2013,Maret
131.8,2013,April
276.0,2013,Mei
112.2,2013,Juni
188.3,2013,Juli
116.8,2013,Agustus
70.1,2013,September
82.8,2013,Oktober
98.0,2013,November
246.8,2013,Desember
912.3,2014,Januari
708.0,2014,Febuari
302.5,2014,Maret
70.4,2014,April
48.7,2014,Mei
102.4,2014,Juni
160.0,2014,Juli
33.5,2014,Agustus
0,2014,September
6.0,2014,Oktober
82.7,2014,November
163.7,2014,Desember
419.7,2015,Januari
888.9,2015,Febuari
213.1,2015,Maret
96.7,2015,April
44.4,2015,Mei
19.7,2015,Juni
2.5,2015,Juli
24.0,2015,Agustus
16.0,2015,September
0,2015,Oktober
172.9,2015,November
250.4,2015,Desember
156.3,2016,Januari
386.9,2016,Febuari
280.0,2016,Maret
181.5,2016,April
2.8,2016,Mei
180.3,2016,Juni
108.3,2016,Juli
207.7,2016,Agustus
252.9,2016,September
159.4,2016,Oktober
104.9,2016,November
25.3,2016,Desember
294.2,2017,Januari
627.9,2017,Febuari
165.5,2017,Maret
116.1,2017,April
60.0,2017,Mei
181.6,2017,Juni
34.4,2017,Juli
1.9,2017,Agustus
74.9,2017,September
159.4,2017,Oktober
160.4,2017,November
217.2,2017,Desember
215.1,2018,Januari
431.2,2018,Febuari
188.6,2018,Maret
159.1,2018,April
16.7,2018,Mei
12.6,2018,Juni
14.5,2018,Juli
33.0,2018,Agustus
62.0,2018,September
133.8,2018,Oktober
140.9,2018,November
52.3,2018,Desember
383.9,2019,Januari
270.1,2019,Febuari
327.3,2019,Maret
194.6,2019,April
47.8,2019,Mei
23.1,2019,Juni
0.0,2019,Juli
0.0,2019,Agustus
1.0,2019,September
1.0,2019,Oktober
50.1,2019,November
263.8,2019,Desember
618.0,2020,Januari
1043.2,2020,Febuari
220.7,2020,Maret
182.8,2020,April
50.4,2020,Mei
21.1,2020,Juni
12.1,2020,Juli
101.0,2020,Agustus
151.9,2020,September
208.3,2020,Oktober
87.3,2020,November
134.7,2020,Desember
332.8,2021,Januari
604.4,2021,Febuari
244.1,2021,Maret
213.9,2021,April
203.6,2021,Mei
79.1,2021,Juni
35.8,2021,Juli
79.7,2021,Agustus
113.4,2021,September
182.1,2021,Oktober
134.1,2021,November
171.6,2021,Desember
